gene_id,CAZyme1,CAZyme2,substrate,bacteria,contig_id,gene,depth,Site
k71_132971_19361,GT25,NA,NA,Sodalis,k71_132971,19361,25,S1
k71_133050_19898,GH13_19,NA,NA,Sodalis,k71_133050,19898,24,S1
k71_133050_19899,GH32,NA,NA,Sodalis,k71_133050,19899,28,S1
k71_133050_19902,GH5_29,NA,NA,Sodalis,k71_133050,19902,25,S1
k71_133050_19903,GH5_29,NA,NA,Sodalis,k71_133050,19903,25,S1
k71_133050_19906,GH55_1,NA,NA,Sodalis,k71_133050,19906,21,S1
k71_133050_19908,GH18,NA,NA,Sodalis,k71_133050,19908,21,S1
k71_133050_19917,CE14,NA,NA,Sodalis,k71_133050,19917,20,S1
k71_133050_19936,GT1,NA,NA,Sodalis,k71_133050,19936,14,S1
k71_133050_19938,GH0,NA,NA,Sodalis,k71_133050,19938,18,S1
k71_133050_19939,GH13_5,NA,NA,Sodalis,k71_133050,19939,14,S1
k71_133050_19944,GT4,NA,NA,Sodalis,k71_133050,19944,18,S1
k71_133050_19948,GH2,NA,NA,Sodalis,k71_133050,19948,16,S1
k71_133050_19960,GH13_3,NA,NA,Sodalis,k71_133050,19960,20,S1
k71_133050_19961,GH13_3,NA,NA,Sodalis,k71_133050,19961,20,S1
k71_133050_19962,GT1,NA,NA,Sodalis,k71_133050,19962,16,S1
k71_133050_19968,CBM50,NA,NA,Sodalis,k71_133050,19968,18,S1
k71_133050_19977,GT4,NA,NA,Sodalis,k71_133050,19977,21,S1
k71_133050_19978,GH35,NA,NA,Sodalis,k71_133050,19978,17,S1
k71_133050_19979,GT19,NA,NA,Sodalis,k71_133050,19979,20,S1
k71_133050_19984,GH85,NA,NA,Sodalis,k71_133050,19984,19,S1
k71_133050_19989,GH117,NA,NA,Sodalis,k71_133050,19989,18,S1
k71_133050_20001,GT22,NA,NA,Sodalis,k71_133050,20001,19,S1
k71_133050_20002,GH36,NA,NA,Sodalis,k71_133050,20002,19,S1
k71_133050_20003,GH47,NA,NA,Sodalis,k71_133050,20003,23,S1
k71_133050_20008,AA3_2,NA,NA,Sodalis,k71_133050,20008,19,S1
k71_136534_29461,CBM13,NA,NA,Acinetobacter,k71_136534,29461,3.8,S1
k71_136534_29464,GT62,NA,NA,Acinetobacter,k71_136534,29464,1.6,S1
k71_136534_29468,GT7,NA,NA,Acinetobacter,k71_136534,29468,2.7,S1
k71_138271_33905,GH31_4,NA,NA,Acinetobacter,k71_138271,33905,1.8,S1
k71_138879_34949,CE4,NA,NA,Sodalis,k71_138879,34949,15,S1
k71_138879_34950,GH3,NA,NA,Sodalis,k71_138879,34950,19,S1
k71_138879_34959,GH128,NA,NA,Sodalis,k71_138879,34959,22,S1
k71_138879_34964,GT4,NA,NA,Sodalis,k71_138879,34964,20,S1
k71_138879_34972,GH28,NA,NA,Sodalis,k71_138879,34972,25,S1
k71_138879_34978,GT1,NA,NA,Sodalis,k71_138879,34978,24,S1
k71_138879_34980,GH16,NA,NA,Sodalis,k71_138879,34980,16,S1
k71_138879_34981,GH16,NA,NA,Sodalis,k71_138879,34981,23,S1
k71_138879_34985,GH115,NA,NA,Sodalis,k71_138879,34985,18,S1
k71_138879_34989,PL0,NA,NA,Sodalis,k71_138879,34989,23,S1
k71_138879_34990,PL0,NA,NA,Sodalis,k71_138879,34990,9,S1
k71_138879_34996,GH13_5,NA,NA,Sodalis,k71_138879,34996,9.9,S1
k71_139526_35515,AA3_2,NA,NA,Acinetobacter,k71_139526,35515,3.4,S1
k71_141055_36527,GT2,NA,NA,Rosenbergiella,k71_141055,36527,2,S1
k71_142233_1658,GT0,NA,NA,Sodalis,k71_142233,1658,11,S1
k71_142233_1659,GT94,NA,NA,Sodalis,k71_142233,1659,23,S1
k71_142233_1660,GT4,NA,NA,Sodalis,k71_142233,1660,21,S1
k71_142233_1661,GT4,NA,NA,Sodalis,k71_142233,1661,26,S1
k71_142233_1662,GT121,NA,NA,Sodalis,k71_142233,1662,23,S1
k71_142233_1663,GT4,NA,NA,Sodalis,k71_142233,1663,26,S1
k71_142437_1927,CBM50,NA,NA,Rosenbergiella,k71_142437,1927,1.1,S1
k71_142534_2314,GH5_29,NA,NA,Rosenbergiella,k71_142534,2314,1.5,S1
k71_142824_2597,GT1,NA,NA,Rosenbergiella,k71_142824,2597,1.4,S1
k71_144495_6044,GH2,NA,NA,Rosenbergiella,k71_144495,6044,1.4,S1
k71_144829_7074,AA5_1,NA,NA,Acinetobacter,k71_144829,7074,1.1,S1
k71_14487_36632,GT8,NA,NA,Rosenbergiella,k71_14487,36632,2.3,S1
k71_145198_7601,GH23,NA,NA,Enterobacter,k71_145198,7601,5,S1
k71_146066_9521,GH103,NA,NA,Sodalis,k71_146066,9521,22,S1
k71_146566_10925,GT1,NA,NA,Rosenbergiella,k71_146566,10925,1.6,S1
k71_146637_11357,GT2,NA,NA,Sodalis,k71_146637,11357,25,S1
k71_146637_11361,GH28,NA,NA,Sodalis,k71_146637,11361,23,S1
k71_146637_11367,GT2,NA,NA,Sodalis,k71_146637,11367,21,S1
k71_146637_11373,GH13,NA,NA,Sodalis,k71_146637,11373,24,S1
k71_146637_11382,CE8,NA,NA,Sodalis,k71_146637,11382,21,S1
k71_146637_11383,GH3,NA,NA,Sodalis,k71_146637,11383,16,S1
k71_146637_11421,GT4,NA,NA,Sodalis,k71_146637,11421,26,S1
k71_146637_11423,GH1,NA,NA,Sodalis,k71_146637,11423,19,S1
k71_146637_11429,GH47,NA,NA,Sodalis,k71_146637,11429,22,S1
k71_146637_11438,GT2,NA,NA,Sodalis,k71_146637,11438,18,S1
k71_146637_11439,GT30,NA,NA,Sodalis,k71_146637,11439,25,S1
k71_146637_11440,GT4,NA,NA,Sodalis,k71_146637,11440,23,S1
k71_146637_11441,GT9,NA,NA,Sodalis,k71_146637,11441,20,S1
k71_146637_11443,GT2,NA,NA,Sodalis,k71_146637,11443,20,S1
k71_146637_11444,GT4,NA,NA,Sodalis,k71_146637,11444,19,S1
k71_146637_11445,CE4,NA,NA,Sodalis,k71_146637,11445,25,S1
k71_146637_11446,GT121,NA,NA,Sodalis,k71_146637,11446,14,S1
k71_146637_11447,GT121,NA,NA,Sodalis,k71_146637,11447,20,S1
k71_146637_11448,GT73,NA,NA,Sodalis,k71_146637,11448,20,S1
k71_146637_11449,GT9,NA,NA,Sodalis,k71_146637,11449,25,S1
k71_146637_11450,GT9,NA,NA,Sodalis,k71_146637,11450,17,S1
k71_146637_11451,GT9,NA,NA,Sodalis,k71_146637,11451,23,S1
k71_146637_11452,GT35,NA,NA,Sodalis,k71_146637,11452,27,S1
k71_146637_11453,GT4,NA,NA,Sodalis,k71_146637,11453,24,S1
k71_146637_11454,GT4,NA,NA,Sodalis,k71_146637,11454,22,S1
k71_146637_11456,CBM50,NA,NA,Sodalis,k71_146637,11456,22,S1
k71_146637_11458,GT22,NA,NA,Sodalis,k71_146637,11458,7.8,S1
k71_146637_11461,GT2,NA,NA,Sodalis,k71_146637,11461,20,S1
k71_146637_11462,CBM50,GH73,NA,Sodalis,k71_146637,11462,24,S1
k71_146637_11464,GT2,NA,NA,Sodalis,k71_146637,11464,22,S1
k71_146637_11468,GH28,NA,NA,Sodalis,k71_146637,11468,15,S1
k71_146637_11473,GH76,NA,NA,Sodalis,k71_146637,11473,24,S1
k71_146637_11478,GH172,NA,NA,Sodalis,k71_146637,11478,21,S1
k71_146637_11482,GH47,NA,NA,Sodalis,k71_146637,11482,26,S1
k71_147174_12487,GT2,NA,NA,Sodalis,k71_147174,12487,19,S1
k71_147174_12494,GH30_7,NA,NA,Sodalis,k71_147174,12494,18,S1
k71_147174_12517,GT4,NA,NA,Sodalis,k71_147174,12517,16,S1
k71_147174_12522,GT121,NA,NA,Sodalis,k71_147174,12522,10,S1
k71_147174_12523,GT2,NA,NA,Sodalis,k71_147174,12523,24,S1
k71_147174_12525,GH131,NA,NA,Sodalis,k71_147174,12525,23,S1
k71_147174_12526,GH31_1,NA,NA,Sodalis,k71_147174,12526,20,S1
k71_147174_12527,GH3,NA,NA,Sodalis,k71_147174,12527,24,S1
k71_147174_12535,GH2,NA,NA,Sodalis,k71_147174,12535,15,S1
k71_147174_12536,GH2,NA,beta-galactan,Sodalis,k71_147174,12536,25,S1
k71_147174_12537,GH2,NA,NA,Sodalis,k71_147174,12537,20,S1
k71_147174_12539,GH2,NA,NA,Sodalis,k71_147174,12539,18,S1
k71_147174_12540,GH36,NA,NA,Sodalis,k71_147174,12540,27,S1
k71_147174_12547,CBM12,NA,NA,Sodalis,k71_147174,12547,24,S1
k71_147174_12550,GH5_7,NA,NA,Sodalis,k71_147174,12550,25,S1
k71_147174_12554,GT2,NA,NA,Sodalis,k71_147174,12554,28,S1
k71_147174_12556,CBM50,NA,NA,Sodalis,k71_147174,12556,19,S1
k71_147174_12566,GT71,NA,NA,Sodalis,k71_147174,12566,23,S1
k71_147174_12567,GT2,NA,NA,Sodalis,k71_147174,12567,20,S1
k71_147174_12571,GH13_11,NA,NA,Sodalis,k71_147174,12571,23,S1
k71_147174_12573,GT2,NA,NA,Sodalis,k71_147174,12573,23,S1
k71_147174_12575,GT5,NA,NA,Sodalis,k71_147174,12575,20,S1
k71_147174_12576,GT1,NA,NA,Sodalis,k71_147174,12576,23,S1
k71_147174_12577,GH23,NA,peptidoglycan,Sodalis,k71_147174,12577,22,S1
k71_147174_12578,GH13,NA,NA,Sodalis,k71_147174,12578,23,S1
k71_147174_12580,GH13_31,NA,NA,Sodalis,k71_147174,12580,21,S1
k71_147174_12581,GH3,NA,NA,Sodalis,k71_147174,12581,21,S1
k71_147174_12584,CBM6,GH92,NA,Sodalis,k71_147174,12584,22,S1
k71_148079_15002,GT121,NA,NA,Acinetobacter,k71_148079,15002,2.8,S1
k71_148195_15394,CBM50,NA,NA,Sodalis,k71_148195,15394,24,S1
k71_148195_15395,CE4,NA,NA,Sodalis,k71_148195,15395,23,S1
k71_148195_15396,GH20,NA,NA,Sodalis,k71_148195,15396,23,S1
k71_148195_15403,GH38,NA,NA,Sodalis,k71_148195,15403,23,S1
k71_148195_15404,GH38,NA,NA,Sodalis,k71_148195,15404,15,S1
k71_148195_15405,GH5_19,NA,NA,Sodalis,k71_148195,15405,30,S1
k71_148195_15411,GT4,NA,NA,Sodalis,k71_148195,15411,22,S1
k71_148195_15413,GH186,NA,NA,Sodalis,k71_148195,15413,22,S1
k71_148195_15421,GH15,NA,NA,Sodalis,k71_148195,15421,21,S1
k71_148195_15427,GH36,NA,NA,Sodalis,k71_148195,15427,19,S1
k71_148195_15435,CBM20,NA,NA,Sodalis,k71_148195,15435,25,S1
k71_148195_15445,AA3_2,NA,NA,Sodalis,k71_148195,15445,22,S1
k71_148195_15447,GH171,NA,NA,Sodalis,k71_148195,15447,20,S1
k71_148195_15458,GH23,NA,NA,Sodalis,k71_148195,15458,23,S1
k71_148195_15463,CBM32,NA,NA,Sodalis,k71_148195,15463,11,S1
k71_148489_16157,GH76,NA,NA,Sodalis,k71_148489,16157,22,S1
k71_148489_16168,CBM48,GH13_11,NA,Sodalis,k71_148489,16168,15,S1
k71_148489_16169,GH13_11,NA,"sucrose, starch, starch",Sodalis,k71_148489,16169,25,S1
k71_148489_16184,GH2,NA,NA,Sodalis,k71_148489,16184,16,S1
k71_148524_16291,GH24,NA,NA,Sodalis,k71_148524,16291,15,S1
k71_149312_18634,GT4,NA,NA,Sodalis,k71_149312,18634,36,S1
k71_149312_18642,CE14,NA,NA,Sodalis,k71_149312,18642,36,S1
k71_149312_18645,GT34,NA,NA,Sodalis,k71_149312,18645,35,S1
k71_150164_21185,GH1,NA,NA,Sodalis,k71_150164,21185,12,S1
k71_151648_24989,GT4,NA,NA,Sodalis,k71_151648,24989,34,S1
k71_152402_26572,GT22,NA,NA,Rosenbergiella,k71_152402,26572,1.9,S1
k71_153283_28116,GH20,NA,NA,Sodalis,k71_153283,28116,22,S1
k71_153283_28125,AA4,NA,NA,Sodalis,k71_153283,28125,17,S1
k71_153283_28128,CE14,NA,NA,Sodalis,k71_153283,28128,15,S1
k71_153283_28135,AA3_2,NA,NA,Sodalis,k71_153283,28135,24,S1
k71_153283_28145,GT2,NA,NA,Sodalis,k71_153283,28145,17,S1
k71_153283_28149,GT1,NA,NA,Sodalis,k71_153283,28149,17,S1
k71_153283_28150,GT77,NA,NA,Sodalis,k71_153283,28150,17,S1
k71_153283_28156,GH4,NA,NA,Sodalis,k71_153283,28156,17,S1
k71_153283_28159,GH72,NA,NA,Sodalis,k71_153283,28159,16,S1
k71_155018_32531,CBM32,GH65,NA,Rosenbergiella,k71_155018,32531,1.2,S1
k71_156004_34451,GT2,NA,NA,Rosenbergiella,k71_156004,34451,1.7,S1
k71_156971_35546,GH1,NA,NA,Tatumella,k71_156971,35546,2.8,S1
k71_158415_2489,GH23,NA,NA,Sodalis,k71_158415,2489,130,S1
k71_158554_2810,CE1,NA,NA,Acinetobacter,k71_158554,2810,2.1,S1
k71_158706_3130,GH102,NA,NA,Rosenbergiella,k71_158706,3130,1.6,S1
k71_15962_344,GT8,NA,NA,Sodalis,k71_15962,344,42,S1
k71_15962_346,GH3,NA,NA,Sodalis,k71_15962,346,39,S1
k71_15962_347,GH0,NA,NA,Sodalis,k71_15962,347,41,S1
k71_160346_6555,CBM1,GH45_1,NA,Sodalis,k71_160346,6555,23,S1
k71_160346_6558,GT4,NA,NA,Sodalis,k71_160346,6558,21,S1
k71_160780_7687,GH72,NA,NA,Acinetobacter,k71_160780,7687,1.7,S1
k71_162184_10335,GH38,NA,NA,Sodalis,k71_162184,10335,26,S1
k71_162184_10357,GH55_2,NA,NA,Sodalis,k71_162184,10357,25,S1
k71_162184_10358,AA1_3,NA,NA,Sodalis,k71_162184,10358,20,S1
k71_16225_1030,GT2,NA,NA,Acinetobacter,k71_16225,1030,2.5,S1
k71_162443_10618,GT2,NA,NA,Acinetobacter,k71_162443,10618,2.9,S1
k71_162674_11168,CBM50,NA,NA,Sodalis,k71_162674,11168,14,S1
k71_162674_11172,GH13_3,NA,NA,Sodalis,k71_162674,11172,18,S1
k71_162674_11175,GH15,NA,NA,Sodalis,k71_162674,11175,20,S1
k71_162674_11176,GH15,NA,NA,Sodalis,k71_162674,11176,14,S1
k71_162674_11178,GT9,NA,NA,Sodalis,k71_162674,11178,8.2,S1
k71_162674_11181,GH73,NA,NA,Sodalis,k71_162674,11181,20,S1
k71_162674_11185,GT9,NA,NA,Sodalis,k71_162674,11185,20,S1
k71_162674_11188,GH5_27,NA,NA,Sodalis,k71_162674,11188,24,S1
k71_162674_11190,GT8,NA,NA,Sodalis,k71_162674,11190,17,S1
k71_162674_11191,AA1,NA,NA,Sodalis,k71_162674,11191,22,S1
k71_162674_11192,GT4,NA,NA,Sodalis,k71_162674,11192,21,S1
k71_162674_11193,GT51,NA,NA,Sodalis,k71_162674,11193,20,S1
k71_162674_11212,GH23,NA,NA,Sodalis,k71_162674,11212,26,S1
k71_162674_11214,GT9,NA,NA,Sodalis,k71_162674,11214,21,S1
k71_165430_15881,CE4,NA,NA,Rosenbergiella,k71_165430,15881,2.2,S1
k71_166057_17343,GT4,NA,NA,Acinetobacter,k71_166057,17343,3.7,S1
k71_166057_17345,GT35,NA,NA,Acinetobacter,k71_166057,17345,2,S1
k71_168771_22755,GT15,NA,NA,Rosenbergiella,k71_168771,22755,2.2,S1
k71_169859_25127,GH0,NA,NA,Sodalis,k71_169859,25127,18,S1
k71_170331_25916,CBM50,NA,NA,Tatumella,k71_170331,25916,2.6,S1
k71_171958_29622,GH1,NA,NA,Sodalis,k71_171958,29622,25,S1
k71_171958_29635,GH1,NA,NA,Sodalis,k71_171958,29635,23,S1
k71_171958_29636,GH23,NA,peptidoglycan,Sodalis,k71_171958,29636,22,S1
k71_171958_29640,GH39,NA,NA,Sodalis,k71_171958,29640,23,S1
k71_171958_29644,GT15,NA,NA,Sodalis,k71_171958,29644,24,S1
k71_171958_29652,GT1,NA,NA,Sodalis,k71_171958,29652,23,S1
k71_171958_29653,GT4,NA,NA,Sodalis,k71_171958,29653,20,S1
k71_171958_29657,GT0,NA,NA,Sodalis,k71_171958,29657,25,S1
k71_171958_29664,GH89,NA,NA,Sodalis,k71_171958,29664,22,S1
k71_171958_29674,GT2,NA,NA,Sodalis,k71_171958,29674,15,S1
k71_171958_29677,GH20,NA,NA,Sodalis,k71_171958,29677,26,S1
k71_171958_29684,GT1,NA,NA,Sodalis,k71_171958,29684,16,S1
k71_171958_29690,GH13_22,GT5,NA,Sodalis,k71_171958,29690,18,S1
k71_171958_29692,GT2,NA,NA,Sodalis,k71_171958,29692,20,S1
k71_171958_29693,GT2,NA,NA,Sodalis,k71_171958,29693,15,S1
k71_171958_29694,GH31_4,NA,NA,Sodalis,k71_171958,29694,22,S1
k71_171958_29698,GT2,NA,NA,Sodalis,k71_171958,29698,25,S1
k71_171958_29700,GH32,NA,NA,Sodalis,k71_171958,29700,23,S1
k71_171958_29705,CBM50,NA,NA,Sodalis,k71_171958,29705,27,S1
k71_171958_29707,GT119,NA,NA,Sodalis,k71_171958,29707,19,S1
k71_171958_29709,GT119,NA,NA,Sodalis,k71_171958,29709,20,S1
k71_171958_29710,GT119,NA,NA,Sodalis,k71_171958,29710,23,S1
k71_171958_29711,GT28,NA,NA,Sodalis,k71_171958,29711,17,S1
k71_171958_29712,GT28,NA,NA,Sodalis,k71_171958,29712,20,S1
k71_171958_29716,CE11,NA,exo-polysaccharide,Sodalis,k71_171958,29716,21,S1
k71_171958_29719,CBM26,NA,NA,Sodalis,k71_171958,29719,24,S1
k71_171958_29721,GH5_38,3.2.1.4,NA,Sodalis,k71_171958,29721,17,S1
k71_171958_29724,GH23,NA,NA,Sodalis,k71_171958,29724,17,S1
k71_171958_29725,GT4,NA,NA,Sodalis,k71_171958,29725,16,S1
k71_171958_29731,GH24,NA,NA,Sodalis,k71_171958,29731,11,S1
k71_171958_29733,GT4,NA,NA,Sodalis,k71_171958,29733,23,S1
k71_172078_29917,GH76,NA,NA,Rosenbergiella,k71_172078,29917,1.7,S1
k71_173359_1498,GH85,NA,NA,Rosenbergiella,k71_173359,1498,2.4,S1
k71_174033_3157,GH17,NA,NA,Sodalis,k71_174033,3157,21,S1
k71_174033_3166,GH92,NA,NA,Sodalis,k71_174033,3166,17,S1
k71_174033_3168,GH4,NA,NA,Sodalis,k71_174033,3168,7,S1
k71_174033_3178,GH2,NA,NA,Sodalis,k71_174033,3178,20,S1
k71_174033_3187,CBM50,NA,NA,Sodalis,k71_174033,3187,20,S1
k71_174033_3192,GH1,NA,NA,Sodalis,k71_174033,3192,24,S1
k71_174033_3193,GH25,NA,NA,Sodalis,k71_174033,3193,21,S1
k71_174033_3195,GH23,NA,NA,Sodalis,k71_174033,3195,17,S1
k71_174033_3196,GH23,NA,NA,Sodalis,k71_174033,3196,28,S1
k71_174033_3202,GT2,NA,NA,Sodalis,k71_174033,3202,23,S1
k71_174033_3203,GT2,NA,NA,Sodalis,k71_174033,3203,18,S1
k71_174033_3204,GT4,NA,NA,Sodalis,k71_174033,3204,18,S1
k71_174033_3205,GT2,NA,NA,Sodalis,k71_174033,3205,24,S1
k71_178173_11037,GT0,NA,NA,Acinetobacter,k71_178173,11037,1.7,S1
k71_179285_14348,AA6,NA,NA,Pantoea,k71_179285,14348,95,S1
k71_179285_14352,GT2,NA,NA,Pantoea,k71_179285,14352,97,S1
k71_179662_15003,GH23,NA,NA,Arsenophonus,k71_179662,15003,100,S1
k71_179784_15362,AA9,NA,NA,Sodalis,k71_179784,15362,27,S1
k71_179784_15371,GT4,NA,NA,Sodalis,k71_179784,15371,22,S1
k71_179784_15372,GH1,NA,NA,Sodalis,k71_179784,15372,24,S1
k71_179814_15542,AA2,NA,NA,Acinetobacter,k71_179814,15542,3.2,S1
k71_182560_22514,GT2,NA,NA,Rosenbergiella,k71_182560,22514,1.9,S1
k71_18368_8150,GT119,NA,NA,Rosenbergiella,k71_18368,8150,3,S1
k71_183983_24677,GH20,NA,NA,Sodalis,k71_183983,24677,24,S1
k71_18582_8464,GH0,NA,NA,Acinetobacter,k71_18582,8464,2.8,S1
k71_186439_29458,GT51,NA,NA,Rosenbergiella,k71_186439,29458,1.7,S1
k71_186733_30328,AA3_3,NA,NA,Sodalis,k71_186733,30328,25,S1
k71_186733_30339,GT0,NA,NA,Sodalis,k71_186733,30339,16,S1
k71_187191_30894,GT4,NA,NA,Rosenbergiella,k71_187191,30894,1.8,S1
k71_188922_1251,GT1,NA,NA,Rosenbergiella,k71_188922,1251,2.6,S1
k71_189178_1961,CBM50,NA,NA,Acinetobacter,k71_189178,1961,2.7,S1
k71_192017_6662,GH2,NA,NA,Acinetobacter,k71_192017,6662,3,S1
k71_192168_6961,GH24,NA,NA,Arsenophonus,k71_192168,6961,37,S1
k71_192168_6962,AA10,NA,NA,Arsenophonus,k71_192168,6962,41,S1
k71_192280_7211,GH1,NA,NA,Acinetobacter,k71_192280,7211,3.3,S1
k71_195161_14502,GH27,NA,NA,Sodalis,k71_195161,14502,18,S1
k71_195161_14504,GH0,NA,NA,Sodalis,k71_195161,14504,20,S1
k71_195626_15638,GT106,NA,NA,Sodalis,k71_195626,15638,35,S1
k71_195626_15646,AA3_2,NA,NA,Sodalis,k71_195626,15646,26,S1
k71_195626_15647,AA3_2,NA,NA,Sodalis,k71_195626,15647,26,S1
k71_195626_15656,GT4,NA,NA,Sodalis,k71_195626,15656,35,S1
k71_195626_15658,GH20,NA,NA,Sodalis,k71_195626,15658,38,S1
k71_196798_18288,GH43_24,NA,NA,Rosenbergiella,k71_196798,18288,2,S1
k71_199036_25252,GT2,NA,NA,Rosenbergiella,k71_199036,25252,1.6,S1
k71_199802_27071,GT4,NA,NA,Acinetobacter,k71_199802,27071,1.6,S1
k71_19988_11529,GH2,NA,NA,Rosenbergiella,k71_19988,11529,1.8,S1
k71_200356_28245,GH23,NA,NA,Xenorhabdus,k71_200356,28245,130,S1
k71_200356_28252,GH23,NA,NA,Xenorhabdus,k71_200356,28252,110,S1
k71_200356_28258,GH23,NA,NA,Xenorhabdus,k71_200356,28258,130,S1
k71_200433_28504,CE1,NA,NA,Rosenbergiella,k71_200433,28504,2.7,S1
k71_20096_11715,GH89,NA,NA,Rosenbergiella,k71_20096,11715,1.8,S1
k71_201555_31369,GH23,NA,NA,Sodalis,k71_201555,31369,22,S1
k71_201555_31378,CBM50,NA,NA,Sodalis,k71_201555,31378,24,S1
k71_201555_31382,CBM48,GH13_8,NA,Sodalis,k71_201555,31382,27,S1
k71_201555_31397,GH13_25,GH133,NA,Sodalis,k71_201555,31397,21,S1
k71_201555_31402,GT2,NA,NA,Sodalis,k71_201555,31402,25,S1
k71_201555_31404,GH76,NA,NA,Sodalis,k71_201555,31404,24,S1
k71_201878_32243,GH72,NA,NA,Sodalis,k71_201878,32243,19,S1
k71_201878_32248,AA3_2,NA,NA,Sodalis,k71_201878,32248,25,S1
